geo,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,pays_coordonnées_latitude,pays_coordonnées_longitude,pays_coordonnées_name (nom),iso3,status,color_code,name,continent,region,iso_3166_1,french_sho
AL,"1953.468 ","1790.623 ","1961.871 ",2058.574,1962.498,1899.558,2078.928,2134.212,2053.036,"1840.668 ","2012.504 ","1958.847 ",41.153332,20.168331,Albanie,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AT,"25092.859 ","25201.329 ","25801.476 ",24760.998,25475.009,26099.472,26502.78,26042.437,26221.621,"24872.933 ","26487.778 ","24823.616 ",47.516231,14.550072,Autriche,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
BA,: ,: ,: ,3103.624,3316.907,3543.934,3497.933,4211.931,4207.688,"4024.489 ","4305.320 ","4290.012 ",43.915886,17.679076,Bosnie-Herzégovine,BIH,Member State,BIH,Bosnia & Herzegovina,Europe,Southern Europe,BA,Bosnie-Herzégovine
BE,"32624.012 ","33058.280 ","34107.252 ",31594.248,33155.9,33437.524,32979.543,33204.836,32590.234,"30938.838 ","33173.523 ","30383.390 ",50.503887,4.469936,Belgique,BEL,Member State,BEL,Belgium,Europe,Western Europe,BE,Belgique
BG,"9125.105 ","9103.369 ","8680.757 ",8881.501,9388.553,9517.949,9745.903,9757.67,9719.6,"9499.659 ","10164.447 ","9854.067 ",42.733883,25.48583,Bulgarie,BGR,Member State,BGR,Bulgaria,Europe,Eastern Europe,BG,Bulgarie
CZ,"23337.059 ","23326.229 ","23131.377 ",22445.593,23100.094,23695.026,24445.396,24190.964,24227.514,"23766.194 ","25315.247 ","24232.335 ",49.817492,15.472962,République tchèque,CZE,Member State,CZE,Czech Republic,Europe,Eastern Europe,CZ,République tchèque
DE,"199292.537 ","202662.536 ","208057.421 ",197229.019,200031.296,203666.981,204512.293,200684.593,200804.342,"194248.055 ","197569.316 ","190442.433 ",51.165691,10.451526,Allemagne,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DK,"14116.296 ","13611.792 ","13460.545 ",12932.124,13462.386,13764.113,13816.96,13787.68,13538.875,"13067.367 ","13815.139 ","13036.306 ",56.26392,9.501785,Danemark,DNK,Member State,DNK,Denmark,Europe,Northern Europe,DK,Danemark
EE,"2781.689 ","2827.225 ","2840.316 ",2774.349,2750.345,2794.835,2807.413,2888.098,2826.061,"2725.496 ","2789.658 ","2720.738 ",58.595272,25.013607,Estonie,EST,Member State,EST,Estonia,Europe,Northern Europe,EE,Estonie
ES,"82390.875 ","79000.274 ","76056.192 ",75144.184,75945.839,77631.876,79697.362,81695.165,81511.227,"72322.647 ","78607.539 ","77873.473 ",40.463667,-3.74922,Espagne,ESP,Member State,ESP,Spain,Europe,Southern Europe,ES,Espagne
FI,"23726.736 ","23952.270 ","23561.862 ",23416.963,23049.777,24030.895,24677.948,25023.502,24828.679,"23246.067 ","24805.313 ","23172.696 ",61.92411,25.748151,Finlande,FIN,Member State,FIN,Finland,Europe,Northern Europe,FI,Finlande
FR,"140884.076 ","145862.497 ","148717.482 ",137552.535,140840.983,143322.297,142341.684,140354.207,139339.439,"127822.129 ","138965.296 ","132682.300 ",46.227638,2.213749,France,FRA,Member State,FRA,France,Europe,Western Europe,FR,France
HR,"6875.498 ","6558.631 ","6467.843 ",6130.555,6484.974,6533.115,6793.042,6682.876,6726.814,"6432.449 ","6887.646 ","6719.174 ",45.1,15.2,Croatie,HRV,Member State,HRV,Croatia,Europe,Southern Europe,HR,Croatie
HU,"16917.517 ","16003.531 ","16255.431 ",15775.708,16829.628,17274.354,17874.513,17849.381,17968.801,"17606.514 ","18793.605 ","17961.469 ",47.162494,19.503304,Hongrie,HUN,Member State,HUN,Hungary,Europe,Eastern Europe,HU,Hongrie
IE,"10363.608 ","10175.368 ","10248.421 ",10189.452,10512.78,10921.747,10871.86,11337.053,11319.107,"10854.506 ","11061.600 ","11058.173 ",53.41291,-8.24389,Irlande,IRL,Member State,IRL,Ireland,Europe,Northern Europe,IE,Irlande
IS,"2521.164 ","2600.490 ","2706.726 ",2739.703,2848.624,2801.368,2848.956,3078.878,2934.494,"2869.740 ","2984.432 ",: ,64.963051,-19.020835,Islande,ISL,Member State,ISL,Iceland,Europe,Northern Europe,IS,Islande
IT,"117518.026 ","116559.044 ","114053.675 ",108848.35,112108.171,111554.603,113611.214,114296.937,113119.475,"103057.147 ","114724.702 ","110777.728 ",41.87194,12.56738,Italie,ITA,Member State,ITA,Italy,Europe,Southern Europe,IT,Italie
