country,lat,long
SG,1.2923,103.8195
NL,52.352,4.9392
DE,50.4777,12.3649
NZ,-36.8504,174.7675
CH,47.1449,8.1551
DE,49.7699,10.2828
GB,51.7206,-3.0408
US,37.751,-97.822
DE,51.1864,6.8624
HK,22.2842,114.1759
US,32.7173,-117.157
DE,49.0078,8.4001
FR,47.4274,0.3893
DE,50.4777,12.3649
CA,46.8127,-71.2226
FI,60.1719,24.9347
DE,50.1169,8.6837
DE,50.4777,12.3649
US,44.8227,-68.8001
SK,48.2717,17.7461
DE,50.4777,12.3649
GB,51.5081,-0.1278
AU,-33.8908,151.1738
US,40.768,-73.981
DE,50.1442,8.6587
US,40.5377,-105.0546
GB,53.7573,-2.7236
CN,31.2222,121.4581
DE,49.4423,11.0191
NL,52.352,4.9392
AU,-27.4683,153.0322
US,40.7964,-74.0203
IT,45.4722,9.1922
FI,60.1719,24.9347
US,42.3026,-71.4306
US,39.7067,-104.9694
DE,51.1864,6.8624
DE,49.4527,11.0783
DE,49.4527,11.0783
SE,59.3032,18.1566
DE,50.4777,12.3649
DE,50.8616,12.7594
CA,45.3316,-75.6718
DE,50.4777,12.3649
BE,50.8534,4.347
SG,1.3552,103.8859
FR,50.6974,3.178
IE,53.3382,-6.2591
DE,49.0078,8.4001
FR,48.8558,2.3494
FR,48.8582,2.3387
US,43.6828,-70.3538
US,33.889,-118.347
SE,59.3247,18.056
US,34.0544,-118.244
US,33.6647,-117.9663
US,42.3353,-83.2864
FI,60.1719,24.9347
IN,19.0748,72.8856
DE,51.9434,7.1724
KR,37.5176,126.9227
DE,49.4423,11.0191
NO,59.905,10.7487
DE,52.4096,13.5379
AT,48.1951,16.3483
ES,41.4913,2.1565
AT,48.2169,16.4997
DE,51.4294,6.7677
US,39.018,-77.539
JP,34.6922,135.1816
IT,45.4722,9.1922
DE,50.1169,8.6837
GB,51.5088,-0.093
US,38.9694,-94.6266
NL,52.4327,4.6596
DE,53.2853,9.7109
MT,35.9159,14.5049
US,37.3931,-121.962
US,34.0609,-118.2414
ES,40.4172,-3.684
PT,37.0157,-7.936
US,38.6364,-90.1985
ID,-6.2114,106.8446
FR,48.8582,2.3387
US,40.3323,-80.0806
DE,51.1864,6.8624
HR,45.8293,15.9793
US,32.3868,-83.3546
US,35.1568,-93.8
DE,49.4527,11.0783
AU,-37.7842,144.878
DE,50.4777,12.3649
DE,50.4777,12.3649
PL,50.2989,18.9449
SG,1.314,103.6839
US,39.1733,-89.6404
ES,41.3949,2.1756
DE,48.188,11.9769
DE,50.4777,12.3649
RU,59.9417,30.3096
US,34.2666,-118.7643
FI,60.1719,24.9347
LT,54.6876,25.2806
US,27.7262,-97.4078
NL,52.3759,4.8975
DE,49.4527,11.0783
FI,60.1719,24.9347
DE,49.4527,11.0783
PL,54.404,18.2219
CH,47.4247,8.547
CH,47.4346,8.5634
HK,22.2578,114.1657
BR,-27.6168,-48.4997
DE,50.4777,12.3649
AU,-27.4683,153.0322
DE,51.2993,9.491
GB,53.7448,-1.4537
CN,31.2222,121.4581
AU,-27.5377,153.0233
DE,52.4746,13.4164
HK,22.2842,114.1759
JP,33.7937,130.687
DE,50.4777,12.3649
FI,61.0636,28.189
SG,1.2872,103.8507
US,32.8646,-96.7884
US,42.4973,-82.9371
SE,59.3274,18.0653
MX,20.791,-103.4898
US,32.9473,-96.7028
US,34.0544,-118.244
ES,42.8206,-1.6465
BR,-23.5475,-46.6361
DE,50.8693,6.8728
CA,44.3546,-79.6889
FI,60.1719,24.9347
DE,50.1169,8.6837
US,32.8595,-117.2124
BR,-27.6157,-48.6235
US,39.018,-77.539
US,42.4509,-73.2495
US,40.2459,-74.2813
DE,50.1169,8.6837
FR,48.9742,8.1851
SK,48.3097,18.0905
SG,1.3667,103.8
NO,59.1728,10.2221
BR,-23.5475,-46.6361
US,38.6364,-90.1985
DE,51.2993,9.491
CA,45.5075,-73.5887
US,32.7147,-79.9526
DE,49.9686,8.0641
IE,53.3382,-6.2591
CA,45.5212,-73.5524
DE,51.2993,9.491
US,44.9856,-93.2655
DE,50.4777,12.3649
US,39.9625,-83.0061
GB,51.5081,-0.1278
DE,52.1602,9.9732
FR,48.8582,2.3387
FR,48.8582,2.3387
US,38.8476,-77.3281
DE,49.4527,11.0783
CA,43.1373,-79.2928
FR,48.8582,2.3387
NL,51.9968,4.2057
CH,47.3643,8.5437
US,34.0481,-118.2531
SG,1.3665,103.9681
US,38.9841,-77.3672
NL,51.4047,6.0335
AU,-33.8715,151.2006
DE,49.4527,11.0783
DE,50.1169,8.6837
DE,51.2993,9.491
ZA,-33.9258,18.4259
DE,52.4943,13.3263
IT,45.413,11.8806
NL,51.7065,5.5564
US,39.0469,-77.4903
FI,60.1719,24.9347
FI,60.1719,24.9347
IT,43.4631,11.8783
NL,52.3759,4.8975
DE,50.4777,12.3649
US,38.9694,-94.6266
BE,50.8534,4.347
DE,49.4423,11.0191
BR,-23.1798,-46.8816
CZ,50.6385,15.2474
US,40.0414,-84.2023
SG,1.2872,103.8507
DE,48.7045,9.0232
FI,60.1719,24.9347
US,37.3177,-121.938
CZ,50.0687,14.3947
DE,50.1169,8.6837
BR,-22.2729,-48.5249
NO,59.9315,11.1728
IT,43.7825,11.2516
JP,35.688,139.7533
DE,49.4423,11.0191
FI,60.1719,24.9347
US,26.9146,-82.0559
ZA,-25.9766,28.1144
DE,49.4423,11.0191
UA,48.4604,35.033
CN,32.2147,119.4544
DE,51.2993,9.491
US,33.1955,-117.2862
RU,55.7487,37.6187
US,41.2591,-95.8517
DE,50.4777,12.3649
IE,53.3382,-6.2591
NL,52.3759,4.8975
PL,52.1574,21.0126
FR,48.8582,2.3387
DE,51.1864,6.8624
DE,51.1864,6.8624
DE,51.1864,6.8624
US,40.9338,-84.3438
BE,50.8534,4.347
US,37.1886,-93.2068
RU,55.7487,37.6187
AU,-33.8715,151.2006
MD,47.0042,28.8574
FR,48.8582,2.3387
US,32.3383,-111.0455
US,40.7964,-74.0203
DE,49.4527,11.0783
US,32.8608,-79.9746
FR,44.5212,3.4994
BR,-23.6301,-46.6378
DE,51.1864,6.8624
US,34.0767,-118.1802
US,40.8364,-74.1403
DE,51.1864,6.8624
BR,-23.5475,-46.6361
CH,47.2683,8.635
RU,55.7386,37.6068
US,37.751,-97.822
US,35.4884,-97.5706
NL,52.3824,4.8995
PL,54.3626,18.6004
US,37.751,-97.822
IN,19.0748,72.8856
NZ,-45.0226,168.7289
US,42.3427,-71.0922
US,37.751,-97.822
FR,48.8582,2.3387
FR,43.4626,1.3304
DE,49.4423,11.0191
FR,48.9742,8.1851
DE,50.102,8.7647
FR,48.8582,2.3387
