country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,estimated_,iso3,status,color_code,name_2,continent,region,iso_3166_1,french_sho
ALB,Albania,Bistrica 1,WRI1002169,27.000000000000000,39.911600000000000,20.104700000000001,Hydro,,,,1965.000000000000000,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,GEODB,"1021225",,,,,,,89.132075471698116,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
ALB,Albania,Fierza,WRI1002170,500.000000000000000,42.251399999999997,20.043099999999999,Hydro,,,,1978.000000000000000,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,GEODB,"1021231",,,,,,,1650.593990216631710,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
ALB,Albania,Koman,WRI1002171,600.000000000000000,42.103299999999997,19.822399999999998,Hydro,,,,1985.000000000000000,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,GEODB,"1021233",,,,,,,1980.712788259957961,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
ALB,Albania,Lanabregas,WRI1002172,5.000000000000000,41.342799999999997,19.896400000000000,Hydro,,,,1951.000000000000000,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,GEODB,"1021236",,,,,,,16.505939902166318,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
ALB,Albania,Shkopet,WRI1002173,24.000000000000000,41.679600000000001,19.830500000000001,Hydro,,,,1963.000000000000000,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,GEODB,"1021238",,,,,,,79.228511530398322,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
ALB,Albania,Ulez,WRI1002174,25.000000000000000,41.679600000000001,19.893599999999999,Hydro,,,,1958.000000000000000,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,GEODB,"1021241",,,,,,,82.529699510831577,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
ALB,Albania,Vau i Dijes,WRI1002175,250.000000000000000,42.013700000000000,19.635899999999999,Hydro,,,,1971.000000000000000,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,GEODB,"1021242",,,,,,,825.296995108315855,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AUT,Austria,Abwinden-Asten,WRI1005149,168.000000000000000,48.247999999999998,14.430500000000000,Hydro,,,,1980.000000000000000,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,GEODB,"1025003",,,,,,,830.138997586005416,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
AUT,Austria,Altenmarkt,WRI1005150,26.000000000000000,46.766700000000000,15.550000000000001,Hydro,,,,1960.000000000000000,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,CARMA,"1041613",,,,,,,128.473892483548468,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
AUT,Austria,Arnstein,WRI1005153,30.000000000000000,47.016700000000000,15.166700000000001,Hydro,,,,1925.000000000000000,Verbund,Verbund,http://www.verbund.com/pp/de/region/oesterreich,CARMA,"1030361",,,,,,,148.239106711786690,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
